element,M_system,M2H_system,M_energy,M2H_energy,H2_adsorption_energy
W,Ov1/Sec-2,Ov1/Sec-2,-646.26976,-651.30811,1.56165
Tc,Ov1/Sec-1,Ov1/Sec-1,-640.56337,-645.81026,1.35311
Zr,Ov1/Sec-2,Ov1/Sec-2,-644.71484,-649.99045,1.32439
Hf,Ov1/Sec-2,Ov1/Sec-2,-646.36597,-651.72539,1.24058
Ta,Ov1/Sec-2,Ov1/Sec-2,-647.38668,-652.7638,1.22288
Nb,Ov1/Sec-2,Ov1/Sec-2,-645.28394,-650.67714,1.2068
Ti,Ov1/Sec-2,Ov1/Sec-2,-642.20187,-647.63751,1.16436
Ce,Ov1/Sec-1,Ov1/Sec-1,-642.10483,-647.55357,1.15126
V,Ov1/Sec-2,Ov1/Sec-2,-641.87723,-647.35521,1.12202
Mo,Ov1/Sec-2,Ov1/Sec-2,-643.44249,-648.93743,1.10506
Ta,Ov1/Sec-1,Ov1/Sec-1,-647.30475,-652.80633,1.09842
Ge,Ov0/None,Ov0/None,-640.65499,-646.16032,1.09467
Ba,Ov1/Sec-1,Ov1/Sec-1,-634.54384,-640.05082,1.09302
Tc,Ov1/Sec-2,Ov1/Sec-2,-640.5722,-646.11313,1.05907
Y,Ov1/Sec-2,Ov1/Sec-2,-641.77416,-647.37399,1.00017
Re,Ov1/Sec-2,Ov1/Sec-2,-643.07231,-648.69173,0.98058
Hf,Ov0/None,Ov0/None,-652.85219,-658.49027,0.96192
Hf,Ov1/Sec-1,Ov1/Sec-1,-646.40252,-652.0519,0.95062
Sr,Ov1/Sec-1,Ov1/Sec-1,-634.65331,-640.30955,0.94376
Ca,Ov1/Sec-1,Ov1/Sec-1,-635.19071,-640.86257,0.92814
Ba,Ov1/Sec-2,Ov1/Sec-2,-634.42771,-640.11382,0.91389
Sr,Ov1/Sec-2,Ov1/Sec-2,-634.64994,-640.33674,0.9132
Ca,Ov1/Sec-2,Ov1/Sec-2,-635.24043,-640.96416,0.87627
Y,Ov1/Sec-1,Ov1/Sec-1,-641.74091,-647.49197,0.84894
Nb,Ov1/Sec-1,Ov1/Sec-1,-645.20137,-650.97264,0.82873
Sr,Ov1/Fir-1,Ov1/Fir-1,-634.33833,-640.14726,0.79107
Sc,Ov1/Sec-2,Ov1/Sec-2,-640.89467,-646.71177,0.7829
Mg,Ov1/Sec-2,Ov1/Sec-2,-633.06874,-638.89486,0.77388
Zr,Ov0/None,Ov0/None,-651.23695,-657.09354,0.74341
Cd,Ov1/Sec-2,Ov1/Sec-2,-629.45252,-635.33616,0.71636
Ga,Ov1/Sec-2,Ov1/Sec-2,-632.78146,-638.6654,0.71606
Ba,Ov1/Fir-1,Ov1/Fir-1,-634.07857,-639.96498,0.71359
Fe,Ov1/Sec-2,Ov1/Sec-2,-636.56899,-642.47796,0.69103
Al,Ov1/Sec-2,Ov1/Sec-2,-635.95742,-641.87257,0.68485
Pb,Ov1/Sec-1,Ov1/Sec-1,-632.78683,-638.70257,0.68426
In,Ov1/Sec-1,Ov1/Sec-1,-632.27575,-638.19202,0.68373
Zr,Ov1/Sec-1,Ov1/Sec-1,-644.2885,-650.21047,0.67803
Ru,Ov1/Fir-2,Ov1/Fir-2,-636.15115,-642.09736,0.65379
Ti,Ov1/Sec-1,Ov1/Sec-1,-642.20877,-648.18581,0.62296
Sc,Ov1/Sec-1,Ov1/Sec-1,-640.9065,-646.90677,0.59973
Ni,Ov1/Fir-2,Ov1/Fir-2,-632.43913,-638.47797,0.56116
Ga,Ov1/Sec-1,Ov1/Sec-1,-632.77711,-638.81719,0.55992
V,Ov1/Sec-1,Ov1/Sec-1,-641.8023,-647.85166,0.55064
Pb,Ov1/Sec-2,Ov1/Sec-2,-632.84557,-638.91173,0.53384
Sr,Ov1/Fir-2,Ov1/Fir-2,-634.33833,-640.42717,0.51116
Cr,Ov1/Sec-1,Ov1/Sec-1,-639.96689,-646.14989,0.417
Os,Ov1/Sec-1,Ov1/Sec-1,-639.54405,-645.73636,0.40769
W,Ov1/Sec-1,Ov1/Sec-1,-646.71165,-652.91084,0.40081
Al,Ov1/Sec-1,Ov1/Sec-1,-635.96487,-642.16514,0.39973
Ta,Ov0/None,Ov0/None,-652.99166,-659.2943,0.29736
Pb,Ov1/Fir-1,Ov1/Fir-1,-632.74128,-639.04661,0.29467
Nb,Ov0/None,Ov0/None,-650.95371,-657.25945,0.29426
Rh,Ov1/Fir-2,Ov1/Fir-2,-633.21957,-639.56589,0.25368
Mn,Ov0/None,Ov0/None,-644.3219,-650.70413,0.21777
Al,Ov1/Fir-1,Ov1/Fir-1,-636.54602,-642.93043,0.21559
Mo,Ov1/Sec-1,Ov1/Sec-1,-643.32411,-649.76276,0.16135
Sn,Ov1/Sec-2,Ov1/Sec-2,-634.30061,-640.75688,0.14373
Re,Ov0/None,Ov0/None,-648.78694,-655.26523,0.12171
Ni,Ov1/Sec-2,Ov1/Sec-2,-633.35521,-639.8367,0.11851
Re,Ov1/Fir-2,Ov1/Fir-2,-642.46589,-648.9796,0.08629
W,Ov0/None,Ov0/None,-651.82483,-658.36113,0.0637
Os,Ov1/Fir-2,Ov1/Fir-2,-638.45254,-645.00885,0.04369
In,Ov1/Sec-2,Ov1/Sec-2,-632.28116,-638.85921,0.02195
Bi,Ov1/Sec-2,Ov1/Sec-2,-633.1425,-639.73268,0.00982
Ti,Ov0/None,Ov0/None,-648.25389,-654.90303,-0.04914
Sb,Ov1/Sec-1,Ov1/Sec-1,-633.35685,-640.08207,-0.12522
Bi,Ov1/Sec-1,Ov1/Sec-1,-633.13083,-639.89016,-0.15933
Ce,Ov1/Sec-2,Ov1/Sec-2,-642.1279,-648.89804,-0.17014
W,Ov1/Fir-2,Ov1/Fir-2,-646.02615,-652.81727,-0.19112
Ce,Ov0/None,Ov0/None,-649.2432,-656.08543,-0.24223
Bi,Ov0/None,Ov0/None,-639.29705,-646.23644,-0.33939
Sb,Ov1/Sec-2,Ov1/Sec-2,-633.33891,-640.28238,-0.34347
Zn,Ov1/Sec-2,Ov1/Sec-2,-629.84389,-636.79124,-0.34735
Cr,Ov1/Fir-2,Ov1/Fir-2,-640.21088,-647.15921,-0.34833
Re,Ov1/Sec-1,Ov1/Sec-1,-643.12186,-650.0984,-0.37654
Mo,Ov1/Fir-2,Ov1/Fir-2,-642.71014,-649.70167,-0.39153
Ag,Ov1/Sec-2,Ov1/Sec-2,-629.00822,-636.00999,-0.40177
Tl,Ov1/Sec-2,Ov1/Sec-2,-629.66573,-636.68378,-0.41805
W,Ov1/Fir-1,Ov1/Fir-1,-646.02615,-653.05858,-0.43243
Zn,Ov1/Fir-1,Ov1/Fir-1,-630.043,-637.08666,-0.44366
Ti,Ov1/Fir-1,Ov1/Fir-1,-641.83453,-648.88722,-0.45269
Sb,Ov1/Fir-2,Ov1/Fir-2,-633.5361,-640.59983,-0.46373
Tl,Ov1/Sec-1,Ov1/Sec-1,-629.73329,-636.82629,-0.493
Os,Ov1/Sec-2,Ov1/Sec-2,-639.69158,-646.79336,-0.50178
Cr,Ov0/None,Ov0/None,-646.42712,-653.53423,-0.50711
Hf,Ov1/Fir-2,Ov1/Fir-2,-646.12918,-653.25359,-0.52441
Hf,Ov1/Fir-1,Ov1/Fir-1,-646.12918,-653.25591,-0.52673
Ge,Ov1/Fir-2,Ov1/Fir-2,-633.24049,-640.3692,-0.52871
Cr,Ov1/Fir-1,Ov1/Fir-1,-640.21088,-647.34087,-0.52999
Mo,Ov1/Fir-1,Ov1/Fir-1,-642.71014,-649.86997,-0.55983
Zr,Ov1/Fir-1,Ov1/Fir-1,-644.43889,-651.60443,-0.56554
Mg,Ov1/Fir-1,Ov1/Fir-1,-633.17433,-640.3507,-0.57637
Mg,Ov1/Fir-2,Ov1/Fir-2,-633.17433,-640.35181,-0.57748
Mn,Ov1/Fir-2,Ov1/Fir-2,-638.24498,-645.44752,-0.60254
Zr,Ov1/Fir-2,Ov1/Fir-2,-644.43889,-651.66487,-0.62598
Zn,Ov1/Fir-2,Ov1/Fir-2,-630.043,-637.28796,-0.64496
Ca,Ov0/None,Ov0/None,-639.07111,-646.31849,-0.64738
Pb,Ov1/Fir-2,Ov1/Fir-2,-632.74128,-640.00295,-0.66167
Ba,Ov0/None,Ov0/None,-638.39845,-645.66303,-0.66458
Sc,Ov1/Fir-1,Ov1/Fir-1,-640.89669,-648.1802,-0.68351
Co,Ov1/Sec-2,Ov1/Sec-2,-634.07904,-641.39356,-0.71452
Sn,Ov0/None,Ov0/None,-640.61953,-647.93712,-0.71759
Sr,Ov0/None,Ov0/None,-638.54468,-645.86868,-0.724
Co,Ov1/Fir-2,Ov1/Fir-2,-634.43931,-641.76429,-0.72498
Ag,Ov1/Sec-1,Ov1/Sec-1,-629.00535,-636.33162,-0.72627
Nb,Ov1/Fir-2,Ov1/Fir-2,-644.54904,-651.87538,-0.72634
Nb,Ov1/Fir-1,Ov1/Fir-1,-644.54904,-651.8766,-0.72756
Y,Ov0/None,Ov0/None,-647.37009,-654.70667,-0.73658
Pd,Ov0/None,Ov0/None,-637.58302,-644.92056,-0.73754
Pb,Ov0/None,Ov0/None,-638.51135,-645.85252,-0.74117
Ti,Ov1/Fir-2,Ov1/Fir-2,-641.83453,-649.17956,-0.74503
Sc,Ov1/Fir-2,Ov1/Fir-2,-640.89669,-648.24603,-0.74934
Al,Ov1/Fir-2,Ov1/Fir-2,-636.54602,-643.89618,-0.75016
Ce,Ov1/Fir-2,Ov1/Fir-2,-641.77908,-649.1363,-0.75722
Ga,Ov1/Fir-2,Ov1/Fir-2,-633.02288,-640.38097,-0.75809
Ta,Ov1/Fir-2,Ov1/Fir-2,-646.64036,-654.01772,-0.77736
Ta,Ov1/Fir-1,Ov1/Fir-1,-646.64036,-654.01895,-0.77859
Cu,Ov1/Sec-2,Ov1/Sec-2,-630.44364,-637.82391,-0.78027
Tl,Ov0/None,Ov0/None,-635.18965,-642.57152,-0.78187
Cd,Ov1/Fir-2,Ov1/Fir-2,-629.2931,-636.69395,-0.80085
Cd,Ov1/Fir-1,Ov1/Fir-1,-629.2931,-636.69705,-0.80395
Ga,Ov1/Fir-1,Ov1/Fir-1,-633.02288,-640.44853,-0.82565
Al,Ov0/None,Ov0/None,-640.97265,-648.39996,-0.82731
Ca,Ov1/Fir-2,Ov1/Fir-2,-634.92353,-642.36314,-0.83961
Ca,Ov1/Fir-1,Ov1/Fir-1,-634.92353,-642.36324,-0.83971
Fe,Ov1/Sec-1,Ov1/Sec-1,-636.55246,-644.00066,-0.8482
Ga,Ov0/None,Ov0/None,-637.80515,-645.2537,-0.84855
In,Ov0/None,Ov0/None,-637.62062,-645.07107,-0.85045
Ce,Ov1/Fir-1,Ov1/Fir-1,-641.77908,-649.24023,-0.86115
V,Ov1/Fir-1,Ov1/Fir-1,-640.99743,-648.46455,-0.86712
Sc,Ov0/None,Ov0/None,-646.1804,-653.65288,-0.87248
Ba,Ov1/Fir-2,Ov1/Fir-2,-634.07857,-641.55754,-0.87897
Bi,Ov1/Fir-2,Ov1/Fir-2,-633.26058,-640.74213,-0.88155
Tc,Ov1/Fir-2,Ov1/Fir-2,-639.22684,-646.71037,-0.88353
Hg,Ov1/Sec-2,Ov1/Sec-2,-627.21008,-634.72045,-0.91037
Bi,Ov1/Fir-1,Ov1/Fir-1,-633.26058,-640.78072,-0.92014
Mn,Ov1/Sec-1,Ov1/Sec-1,-638.11324,-645.66722,-0.95398
Re,Ov1/Fir-1,Ov1/Fir-1,-642.46589,-650.02037,-0.95448
Cu,Ov1/Fir-2,Ov1/Fir-2,-630.11617,-637.67319,-0.95702
In,Ov1/Fir-1,Ov1/Fir-1,-632.04791,-639.63174,-0.98383
Mo,Ov0/None,Ov0/None,-648.62143,-656.20983,-0.9884
Ru,Ov1/Sec-1,Ov1/Sec-1,-636.40695,-644.01877,-1.01182
Cu,Ov1/Fir-1,Ov1/Fir-1,-630.11617,-637.73546,-1.01929
Os,Ov1/Fir-1,Ov1/Fir-1,-638.45254,-646.08998,-1.03744
In,Ov1/Fir-2,Ov1/Fir-2,-632.04791,-639.70334,-1.05543
Ag,Ov1/Fir-1,Ov1/Fir-1,-628.82373,-636.49288,-1.06915
Y,Ov1/Fir-1,Ov1/Fir-1,-641.43393,-649.10924,-1.07531
Y,Ov1/Fir-2,Ov1/Fir-2,-641.43393,-649.1103,-1.07637
Ag,Ov1/Fir-2,Ov1/Fir-2,-628.82373,-636.51893,-1.0952
Tc,Ov0/None,Ov0/None,-645.72175,-653.43074,-1.10899
Mn,Ov1/Fir-1,Ov1/Fir-1,-638.24498,-645.9546,-1.10962
Co,Ov1/Sec-1,Ov1/Sec-1,-634.101,-641.82192,-1.12092
Ir,Ov1/Sec-1,Ov1/Sec-1,-635.3528,-643.16221,-1.20941
Co,Ov1/Fir-1,Ov1/Fir-1,-634.43931,-642.25788,-1.21857
Ru,Ov0/None,Ov0/None,-642.71726,-650.54131,-1.22405
Pt,Ov1/Sec-1,Ov1/Sec-1,-632.48385,-640.31387,-1.23002
Hg,Ov1/Sec-1,Ov1/Sec-1,-627.21387,-635.04973,-1.23586
Ni,Ov1/Fir-1,Ov1/Fir-1,-632.43913,-640.29272,-1.25359
Sb,Ov1/Fir-1,Ov1/Fir-1,-633.5361,-641.41804,-1.28194
Tl,Ov1/Fir-1,Ov1/Fir-1,-629.40553,-637.30382,-1.29829
Pd,Ov1/Fir-1,Ov1/Fir-1,-631.51637,-639.43661,-1.32024
Pd,Ov1/Fir-2,Ov1/Fir-2,-631.51637,-639.43732,-1.32095
V,Ov1/Fir-2,Ov1/Fir-2,-640.99743,-648.93917,-1.34174
Tl,Ov1/Fir-2,Ov1/Fir-2,-629.40553,-637.36413,-1.3586
Hg,Ov1/Fir-1,Ov1/Fir-1,-626.97153,-634.94021,-1.36868
Pd,Ov1/Sec-1,Ov1/Sec-1,-631.20611,-639.25211,-1.446
Sb,Ov0/None,Ov0/None,-639.84661,-647.91606,-1.46945
Tc,Ov1/Fir-1,Ov1/Fir-1,-639.22684,-647.31927,-1.49243
Au,Ov1/Sec-1,Ov1/Sec-1,-628.99699,-637.1219,-1.52491
Ru,Ov1/Sec-2,Ov1/Sec-2,-636.40468,-644.54192,-1.53724
Rh,Ov0/None,Ov0/None,-640.15251,-648.29958,-1.54707
Co,Ov0/None,Ov0/None,-640.22929,-648.37771,-1.54842
Ir,Ov1/Sec-2,Ov1/Sec-2,-635.35494,-643.52435,-1.56941
Mn,Ov1/Sec-2,Ov1/Sec-2,-638.10516,-646.31748,-1.61232
Ge,Ov1/Sec-2,Ov1/Sec-2,-633.25682,-641.47345,-1.61663
Fe,Ov0/None,Ov0/None,-642.53759,-650.75847,-1.62088
Ru,Ov1/Fir-1,Ov1/Fir-1,-636.15115,-644.39666,-1.64551
Pd,Ov1/Sec-2,Ov1/Sec-2,-631.20275,-639.47725,-1.6745
Ir,Ov0/None,Ov0/None,-641.61564,-649.95586,-1.74022
Rh,Ov1/Sec-1,Ov1/Sec-1,-633.731,-642.07944,-1.74844
Au,Ov1/Fir-2,Ov1/Fir-2,-628.78427,-637.22071,-1.83644
Sn,Ov1/Fir-1,Ov1/Fir-1,-633.02626,-641.46926,-1.843
Sn,Ov1/Fir-2,Ov1/Fir-2,-633.02626,-641.47436,-1.8481
Os,Ov0/None,Ov0/None,-644.55441,-653.00693,-1.85252
Pt,Ov1/Sec-2,Ov1/Sec-2,-632.47042,-640.92423,-1.85381
Pt,Ov0/None,Ov0/None,-638.90687,-647.38302,-1.87615
Ir,Ov1/Fir-1,Ov1/Fir-1,-635.01505,-643.51546,-1.90041
Cr,Ov1/Sec-2,Ov1/Sec-2,-639.96814,-648.52684,-1.9587
Ir,Ov1/Fir-2,Ov1/Fir-2,-635.01505,-643.65803,-2.04298
Ge,Ov1/Sec-1,Ov1/Sec-1,-633.26804,-641.91697,-2.04893
Rh,Ov1/Sec-2,Ov1/Sec-2,-633.72802,-642.37935,-2.05133
Rh,Ov1/Fir-1,Ov1/Fir-1,-633.21957,-641.91372,-2.09415
Sn,Ov1/Sec-1,Ov1/Sec-1,-634.39026,-643.12633,-2.13607
Pt,Ov1/Fir-2,Ov1/Fir-2,-632.12402,-640.87859,-2.15457
Ge,Ov1/Fir-1,Ov1/Fir-1,-633.24049,-642.09775,-2.25726
Au,Ov1/Fir-1,Ov1/Fir-1,-628.58237,-637.47005,-2.28768
Pt,Ov1/Fir-1,Ov1/Fir-1,-632.12402,-641.01751,-2.29349
Ni,Ov1/Sec-1,Ov1/Sec-1,-633.35048,-642.65963,-2.70915
Cd,Ov1/Sec-1,Ov1/Sec-1,-629.45608,-638.76529,-2.70921
Mg,Ov1/Sec-1,Ov1/Sec-1,-633.09431,-642.47161,-2.7773
Zn,Ov1/Sec-1,Ov1/Sec-1,-629.82164,-639.27409,-2.85245
Cu,Ov1/Sec-1,Ov1/Sec-1,-630.44269,-640.01516,-2.97247
Au,Ov0/None,Ov0/None,-634.12058,-643.8109,-3.09032
Au,Ov1/Sec-2,Ov1/Sec-2,-628.95445,-638.89756,-3.34311
V,Ov0/None,Ov0/None,-647.45301,-657.83516,-3.78215
Ag,Ov0/None,Ov0/None,-633.48081,-644.88319,-4.80238
Hg,Ov0/None,Ov0/None,-631.35044,-643.05463,-5.10419
Cd,Ov0/None,Ov0/None,-633.41055,-645.42044,-5.40989
Mg,Ov0/None,Ov0/None,-636.77224,-649.23924,-5.867
Cu,Ov0/None,Ov0/None,-634.56712,-647.1472,-5.98008
Zn,Ov0/None,Ov0/None,-633.5703,-646.17369,-6.00339
Ni,Ov0/None,Ov0/None,-636.60279,-649.56802,-6.36523