principal_component,M-2H_H_H_O_n10_n20_l0_atom1,M-2H_H_H_O_n10_n20_l1_atom1,M-2H_H_H_O_n10_n20_l2_atom1,M-2H_H_H_O_n10_n20_l3_atom1,M-2H_H_H_O_n10_n20_l4_atom1,M-2H_H_H_O_n10_n21_l0_atom1,M-2H_H_H_O_n10_n21_l1_atom1,M-2H_H_H_O_n10_n21_l2_atom1,M-2H_H_H_O_n10_n21_l3_atom1,M-2H_H_H_O_n10_n21_l4_atom1,M-2H_H_H_O_n10_n22_l0_atom1,M-2H_H_H_O_n10_n22_l1_atom1,M-2H_H_H_O_n10_n22_l2_atom1,M-2H_H_H_O_n10_n22_l3_atom1,M-2H_H_H_O_n10_n22_l4_atom1,M-2H_H_H_O_n10_n23_l0_atom1,M-2H_H_H_O_n10_n23_l1_atom1,M-2H_H_H_O_n10_n23_l2_atom1,M-2H_H_H_O_n10_n23_l3_atom1,M-2H_H_H_O_n10_n23_l4_atom1,M-2H_H_H_O_n11_n20_l0_atom1,M-2H_H_H_O_n11_n20_l1_atom1,M-2H_H_H_O_n11_n20_l2_atom1,M-2H_H_H_O_n11_n20_l3_atom1,M-2H_H_H_O_n11_n20_l4_atom1,M-2H_H_H_O_n11_n21_l0_atom1,M-2H_H_H_O_n11_n21_l1_atom1,M-2H_H_H_O_n11_n21_l2_atom1,M-2H_H_H_O_n11_n21_l3_atom1,M-2H_H_H_O_n11_n21_l4_atom1,M-2H_H_H_O_n11_n22_l0_atom1,M-2H_H_H_O_n11_n22_l1_atom1,M-2H_H_H_O_n11_n22_l2_atom1,M-2H_H_H_O_n11_n22_l3_atom1,M-2H_H_H_O_n11_n22_l4_atom1,M-2H_H_H_O_n11_n23_l0_atom1,M-2H_H_H_O_n11_n23_l1_atom1,M-2H_H_H_O_n11_n23_l2_atom1,M-2H_H_H_O_n11_n23_l3_atom1,M-2H_H_H_O_n11_n23_l4_atom1,M-2H_H_H_O_n12_n20_l0_atom1,M-2H_H_H_O_n12_n20_l1_atom1,M-2H_H_H_O_n12_n20_l2_atom1,M-2H_H_H_O_n12_n20_l3_atom1,M-2H_H_H_O_n12_n20_l4_atom1,M-2H_H_H_O_n12_n21_l0_atom1,M-2H_H_H_O_n12_n21_l1_atom1,M-2H_H_H_O_n12_n21_l2_atom1,M-2H_H_H_O_n12_n21_l3_atom1,M-2H_H_H_O_n12_n21_l4_atom1,M-2H_H_H_O_n12_n22_l0_atom1,M-2H_H_H_O_n12_n22_l1_atom1,M-2H_H_H_O_n12_n22_l2_atom1,M-2H_H_H_O_n12_n22_l3_atom1,M-2H_H_H_O_n12_n22_l4_atom1,M-2H_H_H_O_n12_n23_l0_atom1,M-2H_H_H_O_n12_n23_l1_atom1,M-2H_H_H_O_n12_n23_l2_atom1,M-2H_H_H_O_n12_n23_l3_atom1,M-2H_H_H_O_n12_n23_l4_atom1,M-2H_H_H_O_n13_n20_l0_atom1,M-2H_H_H_O_n13_n20_l1_atom1,M-2H_H_H_O_n13_n20_l2_atom1,M-2H_H_H_O_n13_n20_l3_atom1,M-2H_H_H_O_n13_n20_l4_atom1,M-2H_H_H_O_n13_n21_l0_atom1,M-2H_H_H_O_n13_n21_l1_atom1,M-2H_H_H_O_n13_n21_l2_atom1,M-2H_H_H_O_n13_n21_l3_atom1,M-2H_H_H_O_n13_n21_l4_atom1,M-2H_H_H_O_n13_n22_l0_atom1,M-2H_H_H_O_n13_n22_l1_atom1,M-2H_H_H_O_n13_n22_l2_atom1,M-2H_H_H_O_n13_n22_l3_atom1,M-2H_H_H_O_n13_n22_l4_atom1,M-2H_H_H_O_n13_n23_l0_atom1,M-2H_H_H_O_n13_n23_l1_atom1,M-2H_H_H_O_n13_n23_l2_atom1,M-2H_H_H_O_n13_n23_l3_atom1,M-2H_H_H_O_n13_n23_l4_atom1
PC1,-0.060949,0.020748,-0.156438,0.163418,0.068028,-0.093786,-0.139768,0.090264,-0.186913,0.182680,-0.200377,0.201468,-0.135173,0.120676,-0.174135,0.178569,0.045512,-0.049591,-0.015818,-0.043343,-0.126142,0.131387,0.097810,0.064442,0.195043,-0.198948,-0.182231,-0.066622,0.166670,-0.174022,-0.154128,-0.075824,0.133036,-0.079282,-0.037361,-0.116660,-0.097184,0.030498,-0.009415,0.096618,-0.127892,0.129908,0.144292,0.000924,-0.143465,0.145100,0.131957,0.065224,0.131734,0.131702,0.150511,0.028751,-0.116525,-0.112671,-0.136210,0.000468,-0.027781,-0.082424,-0.022773,-0.180610,-0.009039,-0.031470,-0.006419,-0.079673,-0.091155,-0.121412,-0.062160,-0.021977,0.085879,0.119373,0.053884,0.026928,0.043770,0.045068,0.075669,-0.065668,-0.065108,-0.019983,-0.063648,0.021162
PC2,-0.072712,0.084524,-0.007682,0.005146,0.052657,-0.037019,0.015986,-0.078073,-0.042202,0.049058,-0.008986,0.021617,-0.135549,0.144664,-0.041268,0.084016,-0.004702,-0.023899,-0.122398,0.132975,0.040683,-0.007697,0.116197,-0.152307,-0.076461,0.058830,-0.004914,0.121824,-0.068082,0.041326,-0.083742,0.124341,0.080777,-0.137880,-0.106808,-0.119211,-0.131628,0.182901,0.143497,0.138954,0.147885,-0.181040,-0.158172,-0.139026,0.121818,-0.157802,-0.149515,-0.070147,0.123474,0.087443,0.117085,-0.071816,-0.146107,-0.130382,-0.142887,0.059533,0.174934,0.174820,0.177719,0.033704,0.154779,0.188955,0.162178,0.023149,0.107426,0.029785,0.177729,-0.155474,-0.098107,-0.009645,-0.173916,0.170179,-0.008253,-0.094974,0.088044,-0.161861,-0.021918,-0.090206,0.052098,-0.125532
PC3,-0.023385,0.036678,-0.006447,0.028814,0.044692,-0.028692,0.012411,-0.021716,0.050388,-0.044737,0.048397,-0.048540,-0.030371,0.037564,-0.011845,0.032109,0.265857,-0.261019,-0.178524,-0.159748,-0.220275,0.217869,0.130770,0.146653,-0.036408,0.033919,0.069765,-0.032589,0.117523,-0.118633,-0.016577,-0.117081,-0.164873,0.212101,0.236931,-0.019011,0.142119,-0.192056,-0.217953,0.046635,0.149197,-0.069460,-0.029705,-0.120484,0.037812,0.057014,0.088637,-0.078316,-0.014926,-0.108838,-0.008264,-0.226974,-0.004668,0.088901,-0.016732,0.227653,0.132158,0.110250,0.160917,-0.006028,0.077736,0.048517,0.108056,-0.091249,-0.010886,0.041622,-0.005829,-0.000998,0.031717,-0.022713,0.018042,0.007723,-0.146754,-0.134340,-0.127442,-0.020609,-0.121663,-0.097597,-0.105387,0.016735
PC4,0.038715,-0.035205,0.089444,-0.109538,-0.079441,0.074757,0.067963,-0.035317,0.086035,-0.090579,0.088829,-0.093775,0.093382,-0.094445,0.101271,-0.120065,-0.020170,0.035883,0.107941,-0.089912,0.015071,-0.038219,-0.134336,0.106678,0.005325,0.015212,0.070676,-0.097338,0.006867,0.016867,0.113444,-0.085427,0.073283,-0.031040,-0.024146,0.009640,-0.087491,0.035892,0.023773,-0.000565,-0.024522,0.023190,0.024515,0.007580,0.092836,-0.068893,-0.030910,-0.083232,0.174779,0.196227,0.166629,0.088971,-0.186933,-0.212295,-0.173836,-0.100632,0.110097,0.051624,0.065731,0.050976,0.184839,0.143657,0.162145,0.040210,-0.249634,-0.203994,-0.206967,0.003788,0.266892,0.228312,0.219058,-0.019302,-0.137296,-0.077459,-0.160715,0.101579,-0.139234,-0.138631,-0.099099,0.011337
PC5,-0.287827,0.292640,0.171272,-0.111836,-0.252228,0.250889,0.183490,-0.120635,0.002876,0.000324,0.114463,-0.074632,-0.123156,0.132488,0.145840,-0.055384,0.045019,-0.053521,-0.074084,0.025482,-0.058574,0.057289,0.040764,0.037040,0.060942,-0.035098,0.069314,-0.189754,0.015313,-0.015173,-0.007896,-0.029684,-0.001571,0.016767,0.019132,0.062559,0.010691,-0.034700,-0.042962,-0.062905,-0.044799,0.077414,0.090116,0.036605,0.090165,-0.025757,0.031457,-0.030494,-0.020887,0.085505,0.027389,-0.078448,0.034010,-0.040716,-0.005786,0.096391,-0.040702,-0.143722,-0.065575,-0.074412,-0.029721,-0.088025,-0.006646,-0.191488,-0.073814,-0.130057,0.049697,-0.257082,0.039073,0.092087,-0.065733,0.236055,0.150027,0.163887,0.098232,0.064576,0.157021,0.107805,0.192819,-0.171620
PC6,0.197812,-0.195446,-0.034203,0.000262,0.176607,-0.170772,-0.038524,-0.000878,0.136991,-0.142607,0.061830,-0.099508,0.006077,-0.008313,-0.053710,0.053340,0.062083,-0.039233,0.055656,-0.116912,-0.053723,0.014930,-0.137746,0.163700,-0.035883,0.076855,0.189074,-0.160779,0.087707,-0.048082,0.160715,-0.180183,0.047970,-0.070403,-0.042723,-0.153485,-0.065001,0.081652,0.045400,0.169169,0.065226,-0.060839,-0.021104,-0.112676,0.006742,-0.052203,-0.045577,-0.143332,0.096693,0.028496,0.109987,-0.074507,-0.090018,0.011488,-0.095455,0.080356,0.016824,-0.139878,-0.020538,-0.042273,0.092656,-0.085338,0.076338,-0.089547,0.060768,0.008886,0.065616,-0.031837,-0.105567,-0.069106,-0.075891,-0.007459,0.256631,0.264541,0.122493,0.202002,0.198854,0.261001,0.051632,0.189666
PC7,0.244361,-0.239541,0.015402,-0.072437,0.292211,-0.276503,0.041562,-0.147996,0.029870,-0.029990,0.032868,-0.028991,0.085651,-0.089260,0.003756,-0.030232,0.039269,-0.083290,-0.245407,0.204669,-0.027405,0.063394,0.203947,-0.136418,0.010554,-0.007580,0.024487,-0.088144,-0.055094,0.045487,-0.025289,0.062114,-0.132521,0.057733,-0.005073,0.114172,0.157733,-0.065743,-0.005645,-0.105807,0.015411,0.001989,0.025767,-0.053506,-0.097482,0.030833,-0.017870,0.086411,-0.070895,0.110138,-0.054524,0.075259,0.072639,-0.087090,0.064963,-0.065908,0.035032,-0.051664,-0.000028,-0.005274,-0.048925,-0.008662,-0.087251,0.165552,-0.145928,-0.247630,0.025102,-0.233515,0.122777,0.236779,-0.045991,0.232825,0.086987,0.036624,0.120417,-0.010601,-0.001355,-0.056986,0.034734,-0.008013
PC8,0.076334,-0.092157,-0.222848,0.246854,-0.039813,0.020874,-0.261733,0.350649,0.144889,-0.154530,-0.049394,-0.042311,0.060083,-0.068812,-0.176497,0.110788,0.002171,0.001496,0.007569,0.006195,0.015536,-0.019345,-0.016246,-0.031362,0.022869,-0.004718,0.064899,-0.100830,-0.121133,0.101627,-0.078084,0.240345,-0.031923,0.074007,0.077291,0.018103,0.018820,-0.061864,-0.069758,0.008333,-0.033092,0.028382,0.008826,0.031929,0.178159,-0.090804,0.007389,-0.284906,0.017383,0.020350,0.015199,0.009327,-0.011486,-0.023318,-0.013705,-0.006025,-0.004616,0.047500,-0.003046,0.041733,-0.065472,-0.090355,-0.014080,-0.193837,-0.060438,-0.066569,-0.021014,-0.034814,0.065610,0.077725,0.022270,0.040260,-0.080466,-0.051298,-0.078867,0.004819,0.173673,-0.049234,0.321062,-0.315356
PC9,-0.016679,-0.001827,0.042176,0.066215,-0.030930,0.013818,0.039279,0.085852,0.032213,-0.038233,0.041605,-0.011688,-0.008964,0.001446,0.038609,0.035632,-0.097531,0.097897,0.051859,0.117210,0.099310,-0.108660,-0.082694,-0.087072,-0.086250,0.102825,0.087643,0.050791,0.025433,-0.010435,0.042550,-0.039581,0.167356,-0.031023,0.094770,-0.296033,-0.207083,0.028974,-0.113885,0.340663,0.102672,-0.026922,0.084418,-0.306909,0.021919,0.086646,0.162885,-0.200159,-0.204667,-0.068329,-0.140143,-0.030214,0.204589,0.077262,0.141145,0.035614,-0.138213,-0.105557,-0.102985,-0.091573,-0.090783,0.014645,-0.068053,-0.027511,-0.077770,-0.110189,0.005502,-0.145852,0.089396,0.127349,0.007032,0.138498,-0.013027,-0.032010,0.010684,-0.029878,-0.213861,-0.157746,-0.177185,0.020209
PC10,-0.026088,0.026545,-0.144459,0.134418,-0.161692,0.152101,-0.185903,0.253282,0.112253,-0.115895,-0.013504,-0.062149,0.172719,-0.174780,-0.052592,-0.072578,-0.050201,0.051139,0.018540,0.065176,0.038899,-0.042778,-0.031094,-0.036054,-0.106776,0.116520,0.094830,0.069847,0.162949,-0.173445,-0.094628,-0.123597,-0.066691,0.040691,-0.006250,0.142176,0.083750,-0.042605,0.012584,-0.161835,0.003617,-0.022543,-0.043982,0.074110,-0.125292,0.078676,0.005845,0.208532,0.029510,-0.010246,0.033699,-0.052057,-0.020558,0.024317,-0.022823,0.051083,-0.114791,-0.123068,-0.104307,-0.019314,0.263642,0.243842,0.241052,0.021967,0.030940,-0.027570,0.091085,-0.110365,-0.057704,0.006591,-0.111083,0.114198,0.185196,0.113514,0.207568,-0.077582,-0.160749,-0.155950,-0.094352,-0.029330
PC11,-0.203265,0.222607,-0.221644,0.109891,-0.088427,0.106243,-0.214017,0.054655,-0.052545,0.063473,-0.107989,0.027477,-0.060305,0.073370,-0.174036,0.043939,-0.003284,-0.019462,-0.117406,0.165073,0.019121,-0.005122,0.059888,-0.091156,-0.027546,0.034991,0.072985,-0.081885,-0.048941,0.061655,0.101209,-0.034976,-0.089759,0.000276,-0.073602,0.157180,0.059263,0.050056,0.107501,-0.096898,0.134958,-0.193025,-0.158113,-0.202694,0.046936,-0.072178,-0.068703,-0.065995,-0.121260,0.029600,-0.097039,0.046714,0.087246,-0.030345,0.071273,-0.043203,0.175842,0.008421,0.137500,-0.021553,-0.017653,-0.056376,-0.039243,0.073404,-0.157296,-0.019112,-0.191387,0.018638,0.129195,-0.015414,0.175084,-0.041257,0.116757,0.170462,-0.027033,0.240188,-0.022740,0.136705,-0.169240,0.259313
