principal_component,M-2H_H_M_Ce_n10_n20_l0_atom0,M-2H_H_M_Ce_n10_n20_l1_atom0,M-2H_H_M_Ce_n10_n20_l2_atom0,M-2H_H_M_Ce_n10_n20_l3_atom0,M-2H_H_M_Ce_n10_n20_l4_atom0,M-2H_H_M_Ce_n10_n21_l0_atom0,M-2H_H_M_Ce_n10_n21_l1_atom0,M-2H_H_M_Ce_n10_n21_l2_atom0,M-2H_H_M_Ce_n10_n21_l3_atom0,M-2H_H_M_Ce_n10_n21_l4_atom0,M-2H_H_M_Ce_n10_n22_l0_atom0,M-2H_H_M_Ce_n10_n22_l1_atom0,M-2H_H_M_Ce_n10_n22_l2_atom0,M-2H_H_M_Ce_n10_n22_l3_atom0,M-2H_H_M_Ce_n10_n22_l4_atom0,M-2H_H_M_Ce_n10_n23_l0_atom0,M-2H_H_M_Ce_n10_n23_l1_atom0,M-2H_H_M_Ce_n10_n23_l2_atom0,M-2H_H_M_Ce_n10_n23_l3_atom0,M-2H_H_M_Ce_n10_n23_l4_atom0,M-2H_H_M_Ce_n11_n20_l0_atom0,M-2H_H_M_Ce_n11_n20_l1_atom0,M-2H_H_M_Ce_n11_n20_l2_atom0,M-2H_H_M_Ce_n11_n20_l3_atom0,M-2H_H_M_Ce_n11_n20_l4_atom0,M-2H_H_M_Ce_n11_n21_l0_atom0,M-2H_H_M_Ce_n11_n21_l1_atom0,M-2H_H_M_Ce_n11_n21_l2_atom0,M-2H_H_M_Ce_n11_n21_l3_atom0,M-2H_H_M_Ce_n11_n21_l4_atom0,M-2H_H_M_Ce_n11_n22_l0_atom0,M-2H_H_M_Ce_n11_n22_l1_atom0,M-2H_H_M_Ce_n11_n22_l2_atom0,M-2H_H_M_Ce_n11_n22_l3_atom0,M-2H_H_M_Ce_n11_n22_l4_atom0,M-2H_H_M_Ce_n11_n23_l0_atom0,M-2H_H_M_Ce_n11_n23_l1_atom0,M-2H_H_M_Ce_n11_n23_l2_atom0,M-2H_H_M_Ce_n11_n23_l3_atom0,M-2H_H_M_Ce_n11_n23_l4_atom0,M-2H_H_M_Ce_n12_n20_l0_atom0,M-2H_H_M_Ce_n12_n20_l1_atom0,M-2H_H_M_Ce_n12_n20_l2_atom0,M-2H_H_M_Ce_n12_n20_l3_atom0,M-2H_H_M_Ce_n12_n20_l4_atom0,M-2H_H_M_Ce_n12_n21_l0_atom0,M-2H_H_M_Ce_n12_n21_l1_atom0,M-2H_H_M_Ce_n12_n21_l2_atom0,M-2H_H_M_Ce_n12_n21_l3_atom0,M-2H_H_M_Ce_n12_n21_l4_atom0,M-2H_H_M_Ce_n12_n22_l0_atom0,M-2H_H_M_Ce_n12_n22_l1_atom0,M-2H_H_M_Ce_n12_n22_l2_atom0,M-2H_H_M_Ce_n12_n22_l3_atom0,M-2H_H_M_Ce_n12_n22_l4_atom0,M-2H_H_M_Ce_n12_n23_l0_atom0,M-2H_H_M_Ce_n12_n23_l1_atom0,M-2H_H_M_Ce_n12_n23_l2_atom0,M-2H_H_M_Ce_n12_n23_l3_atom0,M-2H_H_M_Ce_n12_n23_l4_atom0,M-2H_H_M_Ce_n13_n20_l0_atom0,M-2H_H_M_Ce_n13_n20_l1_atom0,M-2H_H_M_Ce_n13_n20_l2_atom0,M-2H_H_M_Ce_n13_n20_l3_atom0,M-2H_H_M_Ce_n13_n20_l4_atom0,M-2H_H_M_Ce_n13_n21_l0_atom0,M-2H_H_M_Ce_n13_n21_l1_atom0,M-2H_H_M_Ce_n13_n21_l2_atom0,M-2H_H_M_Ce_n13_n21_l3_atom0,M-2H_H_M_Ce_n13_n21_l4_atom0,M-2H_H_M_Ce_n13_n22_l0_atom0,M-2H_H_M_Ce_n13_n22_l1_atom0,M-2H_H_M_Ce_n13_n22_l2_atom0,M-2H_H_M_Ce_n13_n22_l3_atom0,M-2H_H_M_Ce_n13_n22_l4_atom0,M-2H_H_M_Ce_n13_n23_l0_atom0,M-2H_H_M_Ce_n13_n23_l1_atom0,M-2H_H_M_Ce_n13_n23_l2_atom0,M-2H_H_M_Ce_n13_n23_l3_atom0,M-2H_H_M_Ce_n13_n23_l4_atom0
PC1,-0.068044,0.140625,-0.113308,-0.060324,-0.123504,0.146854,-0.147645,0.149326,0.183248,-0.159026,0.152617,-0.145091,0.156333,-0.043550,0.172525,-0.135943,-0.041888,-0.059669,-0.046891,0.073375,-0.145604,0.137442,0.098723,0.004940,0.171303,-0.123044,0.075773,-0.170828,0.145074,-0.157089,0.140457,-0.149098,-0.101559,-0.131516,0.120422,-0.089811,-0.092150,0.075614,-0.073121,0.045008,-0.146618,-0.072332,-0.153642,0.073966,0.113079,0.149373,-0.063819,0.081823,0.046485,0.066715,0.155177,-0.055719,-0.052652,0.071748,-0.144624,0.101783,-0.090536,0.142365,-0.136158,0.078407,0.129933,0.096617,-0.095325,0.030406,-0.147280,0.139131,-0.079910,0.077084,-0.122531,-0.136374,0.018907,-0.096217,0.057359,0.049130,0.122896,-0.094450,0.012288,-0.020536,0.088332,0.006695
PC2,0.057966,0.076391,-0.045456,-0.163826,0.073477,-0.057599,0.021596,0.036768,-0.008518,0.108249,-0.117093,0.113895,0.140046,0.190401,0.005756,-0.059394,-0.038100,-0.107769,-0.039458,-0.058995,-0.167904,0.174114,0.144121,-0.044520,0.111675,0.159600,-0.216167,0.063334,0.003344,-0.054772,-0.019654,-0.085668,-0.087597,0.115755,-0.116882,0.105726,0.040522,-0.121814,0.116905,-0.084099,-0.154210,-0.217927,0.111574,-0.175539,0.184643,0.053779,0.132846,0.088863,-0.078826,0.231271,-0.008874,0.113117,0.180108,-0.165677,-0.008386,-0.019370,0.101615,-0.090162,0.099239,-0.140901,0.123591,0.053927,-0.007491,-0.085454,-0.123214,0.083530,0.141507,-0.063413,-0.183058,-0.065549,-0.143965,0.062510,0.044991,0.147844,-0.014212,0.084711,-0.156907,0.148635,-0.023699,-0.026467
PC3,0.243120,-0.194198,0.228719,-0.190751,-0.200918,0.187214,-0.195033,0.165106,0.042134,-0.050956,0.072346,-0.083778,-0.010636,-0.122275,0.094853,-0.065216,0.014370,-0.002500,0.067166,-0.202124,-0.029490,0.041345,-0.197396,0.184954,-0.000920,-0.092224,0.085086,-0.042471,0.087862,-0.069017,0.065964,0.015389,-0.024703,0.151270,-0.183209,0.188628,0.186354,-0.185670,0.251134,-0.225948,0.028806,0.038374,-0.083376,0.120600,-0.053947,0.036165,-0.108737,0.022446,-0.035962,0.013139,-0.075531,0.082530,0.098834,-0.105166,0.103967,-0.095926,-0.121056,0.110837,-0.089479,0.052131,0.004274,0.077419,-0.051981,-0.007670,0.003598,-0.071734,0.061528,-0.082285,0.027186,0.079632,-0.087892,0.122611,-0.043328,0.013394,-0.019457,-0.012764,0.043714,-0.040361,-0.010656,0.059233
PC4,0.075572,-0.035448,-0.106585,0.144952,-0.049036,0.010370,0.097691,-0.124990,0.036663,0.001044,-0.045480,0.088379,-0.013565,-0.068068,-0.091412,0.174094,-0.085413,-0.203493,-0.118539,-0.171666,0.021218,0.031917,-0.049015,0.287476,-0.032098,-0.011777,-0.021191,-0.132484,-0.025367,-0.007887,0.021498,-0.101209,0.092624,0.037473,0.057111,-0.152632,0.132348,-0.076668,-0.043031,0.201671,-0.033879,0.050375,0.017724,-0.094835,0.020876,0.125131,0.154437,-0.164333,0.206469,-0.040036,0.140321,0.144939,0.027620,0.000964,-0.126989,-0.195755,-0.071384,0.058021,-0.127120,0.246080,-0.050539,-0.024919,-0.122132,0.277849,-0.064253,-0.065042,0.144701,-0.121044,-0.017646,0.070959,-0.141957,-0.050926,0.136001,0.165679,0.081258,0.108139,-0.053463,0.071193,-0.142692,-0.037079
PC5,0.120157,-0.032675,-0.039048,-0.010825,-0.139096,0.007809,-0.052117,0.110773,-0.001442,-0.034154,0.092583,-0.108606,0.035979,-0.068008,0.021633,0.039318,-0.137574,-0.170444,-0.127150,0.031280,0.059809,0.050211,0.030376,0.035733,-0.077685,-0.067596,-0.083117,0.057059,-0.218243,0.141318,-0.236435,0.057923,0.169179,-0.105036,0.112108,0.024869,-0.051977,-0.018730,0.009340,-0.059706,-0.070670,0.117313,-0.110973,0.193447,0.062964,0.154552,-0.026172,-0.052658,0.166263,0.058317,0.041040,0.005530,0.190241,-0.178534,-0.070622,0.000869,0.182701,-0.078625,0.104642,-0.137791,-0.135431,-0.194578,0.237399,-0.165369,0.075112,0.068030,0.064309,-0.147573,-0.043854,-0.076640,0.096364,-0.040020,0.280133,0.130102,0.006537,-0.160573,0.121369,-0.122445,0.131058,-0.019516
PC6,0.077757,-0.013943,-0.048526,0.012294,-0.022302,-0.010845,0.067733,-0.091345,-0.109816,0.078921,-0.052584,0.030892,0.135832,0.041342,-0.075243,0.185297,-0.107681,0.215958,0.244623,-0.133309,-0.024289,0.065682,-0.030282,0.154262,0.060920,-0.049131,0.037372,0.040474,-0.066583,0.104450,0.129598,-0.237117,-0.121007,0.025100,0.017773,-0.023596,-0.105612,-0.098576,-0.008028,0.049991,-0.091128,-0.096002,0.061555,-0.081997,0.110263,0.022307,-0.183769,-0.194660,0.025868,0.090398,-0.115229,-0.011640,0.015769,-0.039644,0.137013,-0.032008,0.148658,0.003633,-0.031945,0.016028,0.079435,0.000702,-0.119832,0.236145,0.128606,0.099167,-0.005089,-0.002231,-0.093916,-0.092952,0.172522,-0.033179,0.081241,-0.152163,-0.166317,-0.136468,0.136204,-0.166415,0.302381,0.220186
PC7,-0.024201,0.026511,-0.104759,0.121755,-0.109861,0.061031,-0.047085,0.021980,0.116036,-0.123767,0.112533,-0.084793,0.044274,-0.019315,0.092187,-0.123227,-0.223859,0.156909,0.288993,0.045083,0.060682,0.005092,-0.002079,-0.053801,0.036582,-0.084423,0.028968,0.060070,-0.175520,0.177596,-0.035380,0.003324,-0.244073,0.007220,0.037175,-0.135955,-0.018189,0.043046,-0.049004,0.128483,-0.026656,-0.060624,-0.054760,-0.040448,0.010856,-0.090563,-0.123133,0.089735,0.154260,0.018101,-0.048437,0.120123,-0.057858,0.050339,0.037174,-0.026144,-0.107755,-0.044034,0.059344,-0.107922,0.221254,-0.148716,0.158181,-0.058922,-0.004032,-0.219106,0.232508,-0.187013,-0.047010,0.242335,-0.223363,0.073081,0.039312,-0.085719,-0.047075,0.181470,-0.096923,0.097150,-0.042075,0.014812
PC8,-0.185371,0.091373,-0.024843,0.051637,0.047119,0.076299,-0.057806,0.026398,0.091598,-0.039418,0.086267,-0.140714,-0.012550,-0.163282,0.034108,0.077562,0.066370,-0.102509,-0.049255,-0.095421,-0.050053,-0.064777,0.056165,-0.077343,0.046420,0.149890,-0.109074,0.056872,0.080138,-0.073781,0.103973,-0.000377,-0.034326,-0.011275,0.006836,-0.050899,0.069373,0.049219,-0.047684,0.047802,0.063274,-0.075526,0.044324,0.032632,-0.087805,0.179829,-0.061203,-0.186910,-0.224905,-0.010855,-0.032197,0.323175,-0.028630,0.047434,0.002784,-0.264070,0.045445,-0.173451,0.187255,-0.120075,0.054349,-0.164273,0.109845,0.085445,-0.125545,-0.016642,-0.058188,0.085896,0.049666,0.019157,-0.143419,0.109153,-0.193036,0.169123,-0.014975,0.020147,0.260293,-0.257177,0.066072,0.178953
PC9,-0.005318,0.007066,0.030511,-0.054650,0.070353,-0.137483,0.045969,0.036264,-0.062552,0.138135,-0.075180,0.027169,-0.035421,-0.079733,-0.014045,0.055153,-0.226826,-0.119555,0.071212,0.172925,0.064661,-0.000350,-0.049320,-0.130662,-0.049969,-0.014100,-0.059436,0.044600,0.041181,-0.061633,0.070849,0.068620,-0.070886,-0.127711,0.028036,0.180054,-0.090927,0.206055,-0.040590,-0.156656,0.064669,-0.093581,0.150287,-0.007254,-0.072381,0.112100,-0.088329,-0.098611,0.129747,-0.046201,0.151452,-0.143377,0.048861,-0.033037,-0.150418,0.186227,-0.151731,0.076414,-0.046189,0.004857,0.024402,0.243868,-0.197105,-0.033300,-0.031145,-0.121091,0.063622,-0.217978,0.026946,0.103539,-0.084043,0.127253,0.058966,0.240872,-0.168852,0.122359,0.167092,-0.162167,0.011530,0.250518
PC10,-0.061415,0.101344,-0.124981,0.033255,-0.050112,0.018182,-0.027022,0.031038,0.000304,-0.085942,0.106992,-0.117071,0.083189,-0.080751,0.025606,0.031968,0.342525,0.079622,-0.123374,-0.011834,-0.034506,0.066935,0.049461,0.079559,-0.000435,-0.070226,0.065770,0.001466,0.097830,-0.077481,-0.125800,-0.030642,0.192611,-0.060778,0.022043,0.031829,-0.163871,0.061408,-0.070230,-0.007630,-0.087735,0.036355,0.003888,0.049597,0.114265,-0.032464,0.128297,-0.197422,0.058777,0.057184,-0.086248,-0.064689,-0.070526,0.049539,0.102954,0.004719,0.076478,0.056897,-0.062324,0.000227,-0.139601,0.023562,-0.001812,-0.040102,0.127690,0.027606,0.213829,-0.242032,-0.094362,-0.035689,0.016148,0.328920,-0.266689,0.018850,-0.311408,0.151001,-0.141763,0.131334,0.001851,0.152966
PC11,0.034072,-0.012227,0.046726,-0.079792,0.024890,0.028052,-0.003833,-0.018993,-0.000506,0.030965,-0.047568,0.045995,0.012363,0.058346,-0.065909,0.078402,0.089281,0.031848,-0.002462,0.098948,-0.035007,-0.016769,0.139391,-0.093503,0.082827,0.027831,0.011942,-0.045014,-0.075632,0.076291,-0.014915,-0.094903,0.072009,0.142639,-0.160042,0.058603,0.210759,-0.174611,0.134600,-0.049801,-0.050202,-0.046749,0.045196,-0.076376,0.085038,0.064841,-0.091910,0.021611,0.141060,-0.134242,0.197452,-0.204247,-0.278519,0.292220,-0.202012,0.140590,0.052148,0.058189,-0.060505,0.058600,-0.000589,-0.225019,0.179438,0.051772,-0.038082,0.034533,0.157632,-0.096802,0.013530,-0.020057,-0.153494,0.156329,-0.151767,0.014959,0.002507,-0.053534,0.163147,-0.166337,0.211962,-0.235070
