principal_component,M-2H_H_O_M_n10_n20_l0_atom0,M-2H_H_O_M_n10_n20_l1_atom0,M-2H_H_O_M_n10_n20_l2_atom0,M-2H_H_O_M_n10_n20_l3_atom0,M-2H_H_O_M_n10_n20_l4_atom0,M-2H_H_O_M_n10_n21_l0_atom0,M-2H_H_O_M_n10_n21_l1_atom0,M-2H_H_O_M_n10_n21_l2_atom0,M-2H_H_O_M_n10_n21_l3_atom0,M-2H_H_O_M_n10_n21_l4_atom0,M-2H_H_O_M_n10_n22_l0_atom0,M-2H_H_O_M_n10_n22_l1_atom0,M-2H_H_O_M_n10_n22_l2_atom0,M-2H_H_O_M_n10_n22_l3_atom0,M-2H_H_O_M_n10_n22_l4_atom0,M-2H_H_O_M_n10_n23_l0_atom0,M-2H_H_O_M_n10_n23_l1_atom0,M-2H_H_O_M_n10_n23_l2_atom0,M-2H_H_O_M_n10_n23_l3_atom0,M-2H_H_O_M_n10_n23_l4_atom0,M-2H_H_O_M_n11_n20_l0_atom0,M-2H_H_O_M_n11_n20_l1_atom0,M-2H_H_O_M_n11_n20_l2_atom0,M-2H_H_O_M_n11_n20_l3_atom0,M-2H_H_O_M_n11_n20_l4_atom0,M-2H_H_O_M_n11_n21_l0_atom0,M-2H_H_O_M_n11_n21_l1_atom0,M-2H_H_O_M_n11_n21_l2_atom0,M-2H_H_O_M_n11_n21_l3_atom0,M-2H_H_O_M_n11_n21_l4_atom0,M-2H_H_O_M_n11_n22_l0_atom0,M-2H_H_O_M_n11_n22_l1_atom0,M-2H_H_O_M_n11_n22_l2_atom0,M-2H_H_O_M_n11_n22_l3_atom0,M-2H_H_O_M_n11_n22_l4_atom0,M-2H_H_O_M_n11_n23_l0_atom0,M-2H_H_O_M_n11_n23_l1_atom0,M-2H_H_O_M_n11_n23_l2_atom0,M-2H_H_O_M_n11_n23_l3_atom0,M-2H_H_O_M_n11_n23_l4_atom0,M-2H_H_O_M_n12_n20_l0_atom0,M-2H_H_O_M_n12_n20_l1_atom0,M-2H_H_O_M_n12_n20_l2_atom0,M-2H_H_O_M_n12_n20_l3_atom0,M-2H_H_O_M_n12_n20_l4_atom0,M-2H_H_O_M_n12_n21_l0_atom0,M-2H_H_O_M_n12_n21_l1_atom0,M-2H_H_O_M_n12_n21_l2_atom0,M-2H_H_O_M_n12_n21_l3_atom0,M-2H_H_O_M_n12_n21_l4_atom0,M-2H_H_O_M_n12_n22_l0_atom0,M-2H_H_O_M_n12_n22_l1_atom0,M-2H_H_O_M_n12_n22_l2_atom0,M-2H_H_O_M_n12_n22_l3_atom0,M-2H_H_O_M_n12_n22_l4_atom0,M-2H_H_O_M_n12_n23_l0_atom0,M-2H_H_O_M_n12_n23_l1_atom0,M-2H_H_O_M_n12_n23_l2_atom0,M-2H_H_O_M_n12_n23_l3_atom0,M-2H_H_O_M_n12_n23_l4_atom0,M-2H_H_O_M_n13_n20_l0_atom0,M-2H_H_O_M_n13_n20_l1_atom0,M-2H_H_O_M_n13_n20_l2_atom0,M-2H_H_O_M_n13_n20_l3_atom0,M-2H_H_O_M_n13_n20_l4_atom0,M-2H_H_O_M_n13_n21_l0_atom0,M-2H_H_O_M_n13_n21_l1_atom0,M-2H_H_O_M_n13_n21_l2_atom0,M-2H_H_O_M_n13_n21_l3_atom0,M-2H_H_O_M_n13_n21_l4_atom0,M-2H_H_O_M_n13_n22_l0_atom0,M-2H_H_O_M_n13_n22_l1_atom0,M-2H_H_O_M_n13_n22_l2_atom0,M-2H_H_O_M_n13_n22_l3_atom0,M-2H_H_O_M_n13_n22_l4_atom0,M-2H_H_O_M_n13_n23_l0_atom0,M-2H_H_O_M_n13_n23_l1_atom0,M-2H_H_O_M_n13_n23_l2_atom0,M-2H_H_O_M_n13_n23_l3_atom0,M-2H_H_O_M_n13_n23_l4_atom0
PC1,0.029408,-0.062201,-0.000346,0.121647,-0.013160,0.097650,-0.064532,-0.137797,0.080540,0.049247,-0.135434,-0.010472,-0.082514,-0.108004,0.175798,0.125027,0.020071,-0.029961,-0.011644,0.104987,0.013861,0.023314,-0.032642,-0.086913,0.088724,-0.025132,-0.122292,0.028483,-0.104494,0.001112,0.171770,0.085845,0.093995,-0.065480,-0.090064,-0.031657,-0.086368,0.062584,0.070732,0.032596,0.056655,-0.023428,-0.091932,-0.005229,0.030152,-0.038002,0.034340,-0.052787,0.185880,-0.165236,-0.182053,-0.108514,-0.180800,0.159185,0.178069,0.104507,0.168433,-0.146867,-0.164623,-0.114691,0.165160,-0.154230,-0.124691,-0.030390,0.180241,-0.171415,-0.162261,-0.093869,-0.177594,0.168059,0.161685,0.098946,0.163283,-0.153026,-0.148149,-0.129012,0.146547,-0.141033,-0.104705,0.065060
PC2,-0.164152,0.160021,-0.165582,0.027339,0.139172,-0.125216,0.145359,-0.034849,-0.193809,0.213918,-0.122359,-0.158696,0.189163,-0.196257,0.095984,0.148915,-0.174852,0.173341,-0.157585,0.008445,0.116721,-0.116155,0.132123,-0.037591,-0.195616,0.226441,-0.150724,-0.153642,0.183081,-0.224780,0.117283,0.158382,-0.089882,0.130170,-0.053605,-0.049422,0.039000,-0.058948,0.024637,0.074427,-0.104571,0.142984,-0.059765,0.022626,0.065690,-0.078155,0.056594,-0.047129,-0.058043,0.082791,-0.056169,-0.090219,0.040553,-0.060587,0.039270,0.090987,-0.050667,0.063075,-0.009870,-0.018564,-0.051242,0.087983,-0.114997,-0.159305,-0.014568,0.027037,-0.035320,-0.091008,0.018842,-0.031383,0.035481,0.083818,0.000042,0.002258,0.014470,-0.060681,-0.052013,0.079107,-0.135967,-0.074948
PC3,-0.079727,0.131868,-0.127683,-0.056905,0.125666,-0.148921,0.120403,0.068542,0.048031,0.062696,-0.105562,-0.094049,-0.096192,0.001324,0.069637,-0.010619,-0.116084,0.175892,-0.191079,-0.151313,0.147157,-0.195583,0.187044,0.114790,0.040649,0.023501,-0.120037,-0.085364,-0.115494,0.088389,0.045694,-0.100690,0.075457,-0.074196,-0.031542,0.007188,-0.079811,0.075429,0.015584,0.012919,0.065895,-0.091906,0.009881,0.083737,-0.066679,0.145529,-0.153382,-0.169783,0.093788,-0.139574,0.094749,0.204761,-0.097551,0.142186,-0.100906,-0.145696,0.067346,-0.131157,0.129969,0.204076,0.095655,-0.094709,-0.053751,0.046641,0.053399,-0.089774,0.128601,0.195567,-0.052718,0.090122,-0.130213,-0.195019,0.015953,-0.059964,0.157997,0.186011,0.083826,-0.094469,0.019176,0.110654
PC4,-0.021482,0.080266,-0.057174,-0.096917,0.033480,-0.100145,0.078986,0.102623,0.028053,0.031834,-0.045041,-0.090571,-0.040163,0.017799,0.000757,0.020552,0.009873,-0.030995,0.050097,0.036106,-0.014270,0.023149,-0.031641,-0.013396,0.020485,-0.025240,0.012541,0.031497,-0.031693,0.052788,-0.034002,-0.078179,-0.215441,0.084574,0.296697,0.300280,0.183180,-0.080955,-0.269752,-0.183156,-0.230022,0.098461,0.295530,0.303881,0.038471,-0.033646,-0.008206,-0.034406,-0.008094,-0.008801,0.045412,0.048392,0.015486,0.003232,-0.056098,-0.054875,-0.069482,0.044380,0.093351,0.078587,-0.029683,0.012457,0.078079,0.069685,0.159288,-0.156759,-0.145922,-0.090675,-0.163189,0.161013,0.141511,0.078522,0.176403,-0.176998,-0.135894,-0.075358,0.036263,-0.036132,-0.036897,-0.017958
PC5,0.200961,-0.220036,0.163223,0.083444,-0.214550,0.209370,-0.156054,-0.076244,0.015022,-0.081007,0.066201,0.154185,-0.004927,0.050075,-0.044656,-0.086655,-0.199920,0.185045,-0.029002,-0.198527,0.213998,-0.214062,0.043972,0.189836,-0.041217,0.026998,0.018999,-0.005034,0.050311,-0.037497,-0.021673,0.032202,-0.220018,0.283389,-0.041021,-0.109590,0.140217,-0.149577,0.028700,-0.048764,-0.200782,0.266506,-0.025981,-0.160876,-0.126695,0.126155,0.026406,-0.014414,0.034490,-0.040424,0.014336,0.007463,-0.008828,0.006352,0.015433,-0.017277,0.069235,-0.085324,0.017603,0.028129,-0.073099,0.094209,-0.039140,-0.081233,0.071699,-0.082090,0.017241,0.058715,-0.087503,0.098927,-0.023205,-0.038852,0.095746,-0.105420,-0.019231,0.009063,0.039116,-0.037577,0.013054,0.040419
PC6,0.091571,-0.085339,-0.126540,0.280649,-0.073811,0.058001,0.130899,-0.237791,0.042729,0.001440,-0.008106,-0.097521,-0.048682,0.024399,0.007488,-0.023893,-0.098306,0.093639,-0.082207,0.004331,0.223397,-0.214267,0.161328,0.021569,0.145146,-0.141873,0.050275,0.097712,-0.026756,0.028318,-0.027302,0.064938,0.100264,-0.172444,0.123615,0.066298,-0.306579,0.394011,-0.254864,-0.069328,-0.093791,0.098129,0.033229,-0.089635,-0.038936,0.032167,-0.054114,0.169949,-0.071969,0.069311,0.040627,0.018123,0.090499,-0.097183,-0.038973,0.136620,-0.092535,0.090826,0.049273,0.046805,-0.010369,-0.006517,0.075667,0.019320,-0.018288,0.029252,-0.053337,-0.108767,0.032744,-0.044371,0.057663,0.093354,-0.056386,0.073282,-0.058131,-0.059892,0.040969,-0.047140,0.019943,-0.127235
PC7,0.216258,-0.077143,0.077620,-0.176373,-0.231469,0.076961,-0.081467,0.163675,-0.037026,0.147809,-0.179535,-0.041622,0.022899,-0.109421,0.110971,0.081069,0.082440,0.015577,-0.098235,-0.192378,-0.059118,-0.033251,0.041950,0.240752,0.064386,-0.004444,-0.154679,0.172322,0.024444,-0.071528,0.123307,-0.071989,0.062953,-0.061269,-0.062779,0.141758,-0.040723,0.051051,0.088143,-0.259709,0.014773,0.008407,-0.075551,0.053561,0.065412,-0.058910,0.092982,-0.260767,-0.074168,0.089969,0.018440,-0.020491,0.138491,-0.166791,0.046741,-0.082194,-0.129176,0.144862,0.062214,-0.049005,0.054502,-0.049413,-0.042624,0.144918,-0.046152,0.074303,-0.062658,-0.040616,0.034286,-0.060883,0.051422,-0.001583,-0.109309,0.138679,-0.009530,-0.128889,0.086268,-0.073979,-0.091494,0.299761
PC8,-0.094549,0.037434,0.133229,-0.166091,0.122120,-0.053514,-0.112133,0.150975,-0.041235,-0.027372,0.091337,-0.069522,-0.005624,0.053408,-0.083815,0.076234,-0.137791,0.084975,0.105653,-0.156787,0.167361,-0.130233,-0.122612,0.207611,-0.021630,-0.042170,0.098828,0.168959,0.002161,0.022664,-0.051612,0.037262,0.078625,-0.087587,-0.020030,0.030027,-0.154976,0.170205,-0.019858,-0.039836,-0.093514,0.108906,-0.017371,0.025348,0.337491,-0.279345,-0.176045,-0.138833,0.062070,-0.066576,-0.050857,-0.137679,-0.061009,0.062428,0.086592,-0.014327,0.121047,-0.119171,-0.100642,-0.140318,0.002281,-0.022216,0.062319,-0.010429,-0.027753,0.007142,0.045160,-0.109017,0.015365,0.005197,-0.020755,-0.089065,0.083371,-0.104744,-0.020977,-0.033883,-0.265960,0.248251,0.174615,-0.041472
PC9,0.175482,-0.075081,-0.098366,0.113083,-0.164408,0.055270,0.103849,-0.101442,0.187758,-0.037148,-0.093199,-0.005923,-0.168566,0.047977,0.054988,0.008949,0.107014,-0.047518,-0.126445,0.103034,-0.084822,0.051290,0.135150,-0.147658,0.101201,-0.041029,-0.069345,-0.136880,-0.110147,0.073511,0.034553,0.074385,-0.048259,0.092104,-0.078812,-0.101622,0.096035,-0.135520,0.131899,0.033880,-0.107637,0.104784,0.043417,-0.023796,0.431514,-0.330360,-0.319761,-0.145945,-0.026059,-0.004116,0.081804,0.048247,0.031010,-0.001513,-0.102834,0.047951,-0.088189,0.055124,0.109218,0.106828,0.018661,-0.024164,0.002221,-0.134668,-0.009269,-0.019323,0.055671,0.043709,0.016390,0.013511,-0.084324,0.124721,-0.038483,0.012696,0.056423,-0.006735,-0.090232,0.063323,0.141505,0.032000
PC10,0.021523,-0.003446,-0.054148,0.058204,-0.031464,0.010848,0.043205,-0.050781,-0.023213,0.033352,-0.006920,-0.086565,0.025084,-0.028056,0.016377,0.015869,-0.039090,0.034745,-0.127927,0.200864,0.061816,-0.041792,0.175690,-0.236738,-0.010926,-0.007656,0.021157,0.088360,0.025572,-0.003332,0.006268,-0.191839,0.025588,-0.001578,-0.061693,0.032118,0.020639,-0.038267,0.097577,-0.109686,0.074937,-0.060272,-0.039802,-0.007332,-0.120443,0.135828,0.015889,-0.121345,-0.014301,0.015886,-0.002733,0.068722,0.001330,-0.003924,-0.036328,0.166536,0.127341,-0.113669,-0.101811,-0.093155,-0.251795,0.228097,0.176780,0.328823,-0.017939,0.019414,-0.021513,0.104237,-0.012754,0.014821,-0.022994,0.123637,0.121437,-0.114408,-0.117569,-0.091323,-0.255285,0.239112,0.218561,0.324531
PC11,-0.017365,0.074452,-0.183855,0.088905,0.000781,-0.054125,0.161758,-0.083725,0.109970,0.005887,-0.116250,0.071051,-0.039733,-0.043418,0.099093,-0.050746,0.137977,-0.050173,-0.015220,-0.198724,-0.186754,0.096511,-0.088428,0.248654,0.013745,0.023599,-0.109202,0.081420,-0.032278,0.007169,0.037639,0.022598,-0.044842,0.083716,-0.002150,-0.241027,-0.074969,0.045889,-0.125617,0.461371,-0.072668,0.088576,-0.016289,0.044083,-0.065059,0.081151,-0.084300,0.069206,-0.043337,0.048211,0.022907,-0.082260,0.046287,-0.047817,0.023604,-0.216218,-0.028226,0.045825,-0.018927,-0.137881,-0.123911,0.108680,0.126569,0.090073,0.068331,-0.069860,-0.007311,-0.097849,0.012156,-0.022260,0.119856,-0.225852,0.071179,-0.059253,-0.109155,-0.107048,-0.052368,0.031813,0.174385,0.206673
